日期,代號,均線,法人,收盤價
2026-04-14,6407.TWO,1,0,44.1
2026-04-15,6407.TWO,1,0,46.45
2026-04-13,4924.TWO,1,0,10.35
2026-04-14,4924.TWO,1,0,10.45
2026-04-15,4924.TWO,1,0,10.45
2026-04-13,4912.TW,-1,0,87.2
2026-04-14,4912.TW,-1,0,88.6
2026-04-15,4912.TW,-1,0,88.7
2026-04-13,6277.TW,1,0,70.0
2026-04-14,6277.TW,1,0,70.7
2026-04-15,6277.TW,1,0,69.4
2026-04-13,6467.TWO,-1,0,113.5
2026-04-14,6467.TWO,-1,0,111.5
2026-04-15,6467.TWO,-1,0,110.0
2026-04-13,6523.TWO,-1,0,114.0
2026-04-14,6523.TWO,-1,0,111.5
2026-04-15,6523.TWO,-1,0,107.5
2026-04-13,6462.TWO,1,0,105.5
2026-04-14,6462.TWO,1,0,105.5
2026-04-15,6462.TWO,1,0,104.5
2026-04-13,6461.TWO,-1,0,18.3
2026-04-14,6461.TWO,-1,0,18.15
2026-04-15,6461.TWO,-1,0,18.15
2026-04-13,6526.TW,-1,0,476.0
2026-04-14,6526.TW,1,0,493.0
2026-04-15,6526.TW,1,0,494.5
2026-04-13,6526.TW,-1,0,476.0
2026-04-14,6526.TW,1,0,493.0
2026-04-15,6526.TW,1,0,494.5
2026-04-13,6527.TWO,-1,0,70.5
2026-04-14,6527.TWO,-1,0,70.5
2026-04-15,6527.TWO,-1,0,70.5
2026-04-13,6530.TWO,1,0,99.0
2026-04-14,6530.TWO,1,0,95.0
2026-04-15,6530.TWO,1,0,104.5
2026-04-13,6451.TW,1,0,475.0
2026-04-14,6451.TW,1,0,476.0
2026-04-15,6451.TW,1,0,460.0
2026-04-13,6446.TW,1,0,647.0
2026-04-14,6446.TW,1,0,642.0
2026-04-15,6446.TW,1,0,648.0
2026-04-13,6531.TW,1,0,567.0
2026-04-14,6531.TW,1,0,606.0
2026-04-15,6531.TW,1,0,592.0
2026-04-13,6446.TW,1,0,647.0
2026-04-14,6446.TW,1,0,642.0
2026-04-15,6446.TW,1,0,648.0
2026-04-13,6531.TW,1,0,567.0
2026-04-14,6531.TW,1,0,606.0
2026-04-15,6531.TW,1,0,592.0
2026-04-13,4958.TW,1,0,257.5
2026-04-14,4958.TW,1,0,251.5
2026-04-15,4958.TW,1,0,253.0
2026-04-13,6443.TW,-1,0,36.05
2026-04-14,6443.TW,-1,0,37.0
2026-04-15,6443.TW,-1,0,38.45
2026-04-13,6443.TW,-1,0,36.05
2026-04-14,6443.TW,-1,0,37.0
2026-04-15,6443.TW,-1,0,38.45
2026-04-13,6451.TW,1,0,475.0
2026-04-14,6451.TW,1,0,476.0
2026-04-15,6451.TW,1,0,460.0
2026-04-13,6496.TWO,-1,0,26.6
2026-04-14,6496.TWO,1,0,26.8
2026-04-15,6496.TWO,-1,0,26.1
2026-04-13,6498.TWO,1,0,89.6
2026-04-14,6498.TWO,1,0,94.0
2026-04-15,6498.TWO,1,0,95.6
2026-04-13,6494.TWO,1,0,52.3
2026-04-14,6494.TWO,1,0,53.3
2026-04-15,6494.TWO,1,0,53.6
2026-04-13,6492.TWO,-1,0,51.5
2026-04-14,6492.TWO,-1,0,50.7
2026-04-15,6492.TWO,1,0,53.4
2026-04-13,6504.TW,1,0,41.55
2026-04-14,6504.TW,1,0,41.8
2026-04-15,6504.TW,1,0,41.6
2026-04-13,6505.TW,-1,0,55.1
2026-04-14,6505.TW,1,0,56.2
2026-04-15,6505.TW,-1,0,54.4
2026-04-13,6485.TWO,-1,0,78.6
2026-04-14,6485.TWO,-1,0,78.8
2026-04-15,6485.TWO,-1,0,78.2
2026-04-13,6510.TWO,1,0,3420.0
2026-04-14,6510.TWO,-1,0,3360.0
2026-04-15,6510.TWO,1,0,3620.0
2026-04-13,6515.TW,1,0,8560.0
